    338 30016139	monaco	 (GPC attValue)
    338 30016138	moldova - republic of	 (GPC attValue)
    338 30016137	micronesia - federated states of	 (GPC attValue)
    338 30016136	mayotte	 (GPC attValue)
    338 30016135	mauritiu	 (GPC attValue)
    338 30016134	mauritania	 (GPC attValue)
    338 30016133	marshall island	 (GPC attValue)
    338 30016132	maldive	 (GPC attValue)
    338 30016131	malawi	 (GPC attValue)
    338 30016130	macedonia - the former yugoslav republic of	 (GPC attValue)
    338 30016129	luxembourg	 (GPC attValue)
    338 30016128	liechtenstein	 (GPC attValue)
    338 30016127	libya	 (GPC attValue)
    338 30016126	liberia	 (GPC attValue)
    338 30016125	lesotho	 (GPC attValue)
    338 30016124	lebanon	 (GPC attValue)
    338 30016123	latvia	 (GPC attValue)
    338 30016122	lao people's democratic republic	 (GPC attValue)
    338 30016121	kyrgyzstan	 (GPC attValue)
    338 30016120	kuwait	 (GPC attValue)
    338 30016115	kiribati	 (GPC attValue)
    338 30016114	kazakhstan	 (GPC attValue)
    338 30016113	jordan	 (GPC attValue)
    338 30016112	jersey	 (GPC attValue)
    338 30016111	japan	 (GPC attValue)
    338 30016110	isle of man	 (GPC attValue)
    338 30016109	ireland	 (GPC attValue)
    338 30016108	iraq	 (GPC attValue)
    338 30016107	iceland	 (GPC attValue)
    338 30016106	hong kong	 (GPC attValue)
    338 30016105	holy see (vatican city state)	 (GPC attValue)
    338 30016104	heard island and mcdonald island	 (GPC attValue)
    338 30016103	haiti	 (GPC attValue)
    338 30016101	guyana	 (GPC attValue)
    338 30016100	guinea - bissau	 (GPC attValue)
    338 30016099	guinea	 (GPC attValue)
    338 30016098	guernsey	 (GPC attValue)
    338 30016097	guam	 (GPC attValue)
    338 30016096	guadeloupe	 (GPC attValue)
    338 30016095	grenada	 (GPC attValue)
    338 30016094	greenland	 (GPC attValue)
    338 30016093	gibraltar	 (GPC attValue)
    338 30016092	germany - thÜringen	 (GPC attValue)
    338 30016091	germany - sachsen - thÜringen	 (GPC attValue)
