      6 30000014	76-80%	 (GPC attValue)
      6 30000013	71-75%	 (GPC attValue)
      6 30000012	66-70%	 (GPC attValue)
      6 30000011	61-65%	 (GPC attValue)
      6 30000010	56-60%	 (GPC attValue)
      6 30000009	51-55%	 (GPC attValue)
      6 30000008	46- 50%	 (GPC attValue)
      6 30000007	41-45%	 (GPC attValue)
      6 30000006	36-40%	 (GPC attValue)
      6 30000005	31-35%	 (GPC attValue)
      6 30000004	26-30%	 (GPC attValue)
      6 30000003	21-25%	 (GPC attValue)
      6 30000002	16-20%	 (GPC attValue)
      6 30000001	10-15%	 (GPC attValue)
      5 30018982	oak- unclassified	 (GPC attValue)
      5 30018981	french oak (quercus robur & petraea)	 (GPC attValue)
      5 30018980	american white oak (quercus alba)	 (GPC attValue)
      5 30018979	repurposed american white oak (quercus alba) - (bourbon)	 (GPC attValue)
      5 30018978	pin (cask)	 (GPC attValue)
      5 30018977	gorda	 (GPC attValue)
      5 30018976	sherry shape puncheon	 (GPC attValue)
      5 30018975	sherry butt	 (GPC attValue)
      5 30018974	quarter cask	 (GPC attValue)
      5 30018973	port pipe	 (GPC attValue)
      5 30018972	minipin	 (GPC attValue)
      5 30018971	madeira drum	 (GPC attValue)
      5 30018970	machine puncheon	 (GPC attValue)
      5 30018969	kilderkin	 (GPC attValue)
      5 30018968	hogshead	 (GPC attValue)
      5 30018967	firkin	 (GPC attValue)
      5 30018966	english tun	 (GPC attValue)
      5 30018965	british brewery barrel	 (GPC attValue)
      5 30018964	blood tub	 (GPC attValue)
      5 30018963	barrique (cognac)	 (GPC attValue)
      5 30018962	barrique (bordeaux)	 (GPC attValue)
      5 30018961	barracoon/barrack	 (GPC attValue)
      5 30018960	american standard barrel (asb)	 (GPC attValue)
      5 30018785	france - beaujolais - village	 (GPC attValue)
      5 30018784	wale	 (GPC attValue)
      5 30018783	usa - wyoming	 (GPC attValue)
      5 30018782	usa - wisconsin	 (GPC attValue)
      5 30018781	usa - west virginia	 (GPC attValue)
      5 30018780	usa - washington - walla walla valley	 (GPC attValue)
      5 30018779	usa - vermont	 (GPC attValue)
      5 30018778	usa - utah	 (GPC attValue)
      5 30018777	usa - south dakota	 (GPC attValue)
      5 30018776	usa - south carolina	 (GPC attValue)
      5 30018775	usa - rhode island	 (GPC attValue)
      5 30018774	usa - oklahoma	 (GPC attValue)
      5 30018773	usa - ohio	 (GPC attValue)
      5 30018772	usa - north dakota	 (GPC attValue)
      5 30018771	usa - north carolina	 (GPC attValue)
      5 30018770	usa - new orlean	 (GPC attValue)
      5 30018769	usa - new mexico	 (GPC attValue)
      5 30018768	usa - new hampshire	 (GPC attValue)
      5 30018767	usa - nevada	 (GPC attValue)
      5 30018766	usa - nebraska	 (GPC attValue)
      5 30018765	usa - montana	 (GPC attValue)
      5 30018764	usa - mississippi	 (GPC attValue)
      5 30018763	usa - minnesota	 (GPC attValue)
      5 30018762	usa - michigan	 (GPC attValue)
      5 30018761	usa - massachusett	 (GPC attValue)
      5 30018760	usa - maine	 (GPC attValue)
      5 30018759	usa - louisiana	 (GPC attValue)
      5 30018758	usa - district of columbia	 (GPC attValue)
      5 30018757	usa - kansa	 (GPC attValue)
      5 30018756	usa - iowa	 (GPC attValue)
      5 30018755	usa - indiana	 (GPC attValue)
      5 30018754	usa - illinoi	 (GPC attValue)
      5 30018753	usa - hawaii	 (GPC attValue)
      5 30018752	usa - georgia	 (GPC attValue)
      5 30018751	usa - delaware	 (GPC attValue)
      5 30018750	usa - connecticut	 (GPC attValue)
      5 30018749	usa - colorado	 (GPC attValue)
      5 30018748	usa - california - sonoma mountain	 (GPC attValue)
      5 30018747	usa - california - sonoma coast	 (GPC attValue)
      5 30018746	usa - california - santa ynez valley	 (GPC attValue)
      5 30018745	usa - california - santa rita hill	 (GPC attValue)
      5 30018744	usa - california - santa maria valley	 (GPC attValue)
      5 30018743	usa - california - santa lucia highland	 (GPC attValue)
      5 30018742	usa - california - russian river valley	 (GPC attValue)
      5 30018741	usa - california - redwood valley	 (GPC attValue)
      5 30018740	usa - california - red hills lake county	 (GPC attValue)
      5 30018739	usa - california - paso roble	 (GPC attValue)
      5 30018738	usa - california - north coast	 (GPC attValue)
      5 30018737	usa - california - monterey county	 (GPC attValue)
      5 30018736	usa - california - central coast	 (GPC attValue)
      5 30018735	usa - california - shenandoah valley	 (GPC attValue)
      5 30018734	usa - california - amador county	 (GPC attValue)
      5 30018733	usa - arkansa	 (GPC attValue)
      5 30018732	usa - arizona	 (GPC attValue)
      5 30018731	usa - alaska	 (GPC attValue)
      5 30018730	uruguay - juanico	 (GPC attValue)
      5 30018729	uruguay - canelone	 (GPC attValue)
      5 30018728	usa - pennsylvania - central delaware valley	 (GPC attValue)
      5 30018727	turkey - yapincak - thracian region - thracian lowland	 (GPC attValue)
      5 30018726	spain - ronda	 (GPC attValue)
      5 30018725	switzerland - vaud	 (GPC attValue)
      5 30018724	switzerland - val-de-traver	 (GPC attValue)
      5 30018723	switzerland - valais - salquenen	 (GPC attValue)
      5 30018722	switzerland - valai	 (GPC attValue)
      5 30018721	switzerland - geneva - soral	 (GPC attValue)
      5 30018720	switzerland - geneva	 (GPC attValue)
      5 30018719	spain - valencian community - valencia	 (GPC attValue)
      5 30018718	spain - valencian community - utiel-requena	 (GPC attValue)
      5 30018717	spain - valencian community - alicante	 (GPC attValue)
      5 30018716	spain - tarragona - cortona	 (GPC attValue)
      5 30018715	spain - tarragona - conca de barberÀ	 (GPC attValue)
      5 30018714	spain - rioja - rioja alta	 (GPC attValue)
      5 30018713	spain - ribeira sacra	 (GPC attValue)
      5 30018712	spain - rÍas baixas - condado de tea	 (GPC attValue)
      5 30018711	spain - rÍas baixa	 (GPC attValue)
      5 30018710	spain - regiÓn de murcia - yecla	 (GPC attValue)
      5 30018709	spain - regiÓn de murcia - bulla	 (GPC attValue)
      5 30018708	spain - navarre - rioja	 (GPC attValue)
      5 30018707	spain - navarre - navarra	 (GPC attValue)
      5 30018706	spain - galicia - valdeorra	 (GPC attValue)
      5 30018705	spain - douro - douro superior	 (GPC attValue)
      5 30018704	spain - douro - cima corgo	 (GPC attValue)
      5 30018703	spain - douro - baixo corgo	 (GPC attValue)
      5 30018702	spain - douro	 (GPC attValue)
      5 30018701	spain - community of madrid - vinos de madrid	 (GPC attValue)
      5 30018700	spain - catalonia - terra alta	 (GPC attValue)
      5 30018699	spain - catalonia - tarragona	 (GPC attValue)
      5 30018698	spain - catalonia - priorat	 (GPC attValue)
      5 30018697	spain - catalonia - penedÈ	 (GPC attValue)
      5 30018696	spain - castile-la mancha - ribera del jÚcar	 (GPC attValue)
      5 30018695	spain - catalonia - montsant	 (GPC attValue)
      5 30018694	spain - catalonia - empordÀ	 (GPC attValue)
      5 30018693	spain - catalonia - costers del segre	 (GPC attValue)
      5 30018692	spain - catalonia - catalunya	 (GPC attValue)
      5 30018691	spain - castile-la mancha - valdepeÑa	 (GPC attValue)
      5 30018690	spain - castile-la mancha - mÉntrida	 (GPC attValue)
      5 30018689	spain - castile-la mancha - manchuela	 (GPC attValue)
      5 30018688	spain - castile-la mancha - jumilla	 (GPC attValue)
      5 30018687	spain - castile-la mancha - almansa	 (GPC attValue)
      5 30018686	spain - castile-la mancha	 (GPC attValue)
      5 30018685	spain - castile and leÓn - toro	 (GPC attValue)
      5 30018684	spain - castile and leÓn - tierra de leÓn	 (GPC attValue)
      5 30018683	spain - castile and leÓn - rueda	 (GPC attValue)
      5 30018682	spain - castile and leÓn - ribera del duero	 (GPC attValue)
      5 30018681	spain - castile and leÓn - cigale	 (GPC attValue)
      5 30018680	spain - castile and leÓn - bierzo	 (GPC attValue)
      5 30018679	spain - castile and leÓn	 (GPC attValue)
      5 30018678	spain - cÁdiz - jerez	 (GPC attValue)
      5 30018677	spain - balearic islands - binissalem-mallorca	 (GPC attValue)
      5 30018676	spain - aragon - somontano	 (GPC attValue)
      5 30018675	spain - aragon - campo de cariÑena	 (GPC attValue)
      5 30018674	spain - aragon - campo de borja	 (GPC attValue)
      5 30018673	spain - aragon - calatayud	 (GPC attValue)
      5 30018672	spain - andalusia - montilla-morile	 (GPC attValue)
      5 30018671	spain - andalusia - malaga	 (GPC attValue)
      5 30018670	south africa - western cape - walker bay	 (GPC attValue)
      5 30018669	south africa - western cape	 (GPC attValue)
      5 30018668	south africa - tulbagh	 (GPC attValue)
      5 30018667	south africa - swartland	 (GPC attValue)
      5 30018666	south africa - stellenbosch - simonsberg-stellenbosch	 (GPC attValue)
      5 30018665	south africa - stellenbosch - jonkershoek valley	 (GPC attValue)
      5 30018664	south africa - stellenbosch - devon valley	 (GPC attValue)
      5 30018663	south africa - stellenbosch - bottelary	 (GPC attValue)
      5 30018662	south africa - stellenbosch	 (GPC attValue)
      5 30018661	south africa - robertson	 (GPC attValue)
      5 30018660	south africa - piekenierskloof	 (GPC attValue)
      5 30018659	south africa - paarl	 (GPC attValue)
      5 30018658	south africa - overberg	 (GPC attValue)
      5 30018657	south africa - hemel-en-aarde	 (GPC attValue)
      5 30018656	south africa - franschhoek	 (GPC attValue)
      5 30018655	south africa - elgin	 (GPC attValue)
      5 30018654	south africa - coastal region	 (GPC attValue)
      5 30018653	south africa - cederberg	 (GPC attValue)
      5 30018652	south africa - cape point	 (GPC attValue)
      5 30018651	scotland	 (GPC attValue)
      5 30018650	scotland - speyside	 (GPC attValue)
      5 30018649	scotland - lowland	 (GPC attValue)
      5 30018648	scotland - islay	 (GPC attValue)
      5 30018647	scotland - island - skye	 (GPC attValue)
      5 30018646	romania - banat	 (GPC attValue)
      5 30018645	portugal - vinhos verde	 (GPC attValue)
      5 30018644	scotland - island - orkney	 (GPC attValue)
      5 30018643	scotland - island - mull	 (GPC attValue)
      5 30018642	scotland - island - jura	 (GPC attValue)
      5 30018641	scotland - island - arran	 (GPC attValue)
      5 30018640	scotland - highland	 (GPC attValue)
      5 30018639	scotland - campbeltown	 (GPC attValue)
      5 30018638	portugal - setubal	 (GPC attValue)
      5 30018637	portugal - palmela	 (GPC attValue)
      5 30018636	portugal - lisboa	 (GPC attValue)
      5 30018635	portugal - dÃo	 (GPC attValue)
      5 30018634	portugal - beira	 (GPC attValue)
      5 30018633	portugal - bairrada	 (GPC attValue)
      5 30018632	portugal - alentejo - tejo	 (GPC attValue)
      5 30018631	portugal - alenquer	 (GPC attValue)
      5 30018630	new zealand - wellington	 (GPC attValue)
      5 30018629	new zealand - wairarapa - martinborough	 (GPC attValue)
      5 30018628	new zealand - northland region - wairarapa	 (GPC attValue)
      5 30018627	new zealand - nelson	 (GPC attValue)
      5 30018626	new zealand - marlborough	 (GPC attValue)
      5 30018625	new zealand - hawkes bay - gimblett gravel	 (GPC attValue)
      5 30018624	new zealand - hawkes bay	 (GPC attValue)
      5 30018623	new zealand - gisborne	 (GPC attValue)
      5 30018622	new zealand - central otago	 (GPC attValue)
      5 30018621	new zealand - canterbury - waipara	 (GPC attValue)
      5 30018620	new zealand - canterbury	 (GPC attValue)
      5 30018619	new zealand - auckland - waiheke island	 (GPC attValue)
      5 30018618	new zealand - auckland	 (GPC attValue)
      5 30018617	mexico - zacateca	 (GPC attValue)
      5 30018616	mexico - tamaulipa	 (GPC attValue)
      5 30018615	mexico - san luis poto	 (GPC attValue)
      5 30018614	mexico - puebla	 (GPC attValue)
      5 30018613	mexico - nayarit	 (GPC attValue)
      5 30018612	mexico - michoacÁn	 (GPC attValue)
      5 30018611	mexico - jalisco	 (GPC attValue)
      5 30018610	mexico - guerrero	 (GPC attValue)
      5 30018609	mexico - guanajuato	 (GPC attValue)
      5 30018608	mexico - durango	 (GPC attValue)
      5 30018607	mexico - baja california	 (GPC attValue)
      5 30018606	mededonia - skopje	 (GPC attValue)
      5 30018605	macedonia - tikve	 (GPC attValue)
      5 30018604	lebanon - bekaa valley	 (GPC attValue)
      5 30018603	italy - venezie	 (GPC attValue)
      5 30018602	italy - veneto - valpolicella	 (GPC attValue)
      5 30018601	italy - veneto - valdadige	 (GPC attValue)
      5 30018600	italy - veneto - treviso	 (GPC attValue)
      5 30018599	italy - veneto - soave superiore	 (GPC attValue)
      5 30018598	italy - veneto - soave colli scaligeri superiore	 (GPC attValue)
      5 30018597	italy - veneto - soave classico superiore	 (GPC attValue)
      5 30018596	italy - veneto - soave	 (GPC attValue)
      5 30018595	italy - veneto - recioto di soave classico	 (GPC attValue)
      5 30018594	italy - veneto - recioto di soave	 (GPC attValue)
      5 30018593	italy - veneto - prosecco	 (GPC attValue)
      5 30018592	italy - veneto - colli euganei	 (GPC attValue)
      5 30018591	italy - veneto - amarone	 (GPC attValue)
      5 30018589	italy - umbria - torrette	 (GPC attValue)
      5 30018588	italy - umbria - montefalco sagrantino	 (GPC attValue)
      5 30018587	italy - tuscany - vino nobile de montepulciano	 (GPC attValue)
      5 30018586	italy - tuscany - val di cornia	 (GPC attValue)
      5 30018585	italy - tuscany - sant'antimo	 (GPC attValue)
      5 30018584	italy - tuscany - montescudaio	 (GPC attValue)
      5 30018583	italy - tuscany - montecucco	 (GPC attValue)
      5 30018582	italy - tuscany - montalcino	 (GPC attValue)
      5 30018581	italy - tuscany - maremma	 (GPC attValue)
      5 30018580	italy - tuscany - cortona	 (GPC attValue)
      5 30018579	italy - tuscany - chianti rufina	 (GPC attValue)
      5 30018578	italy - tuscany - chianti classico	 (GPC attValue)
      5 30018577	italy - tuscany - chianti	 (GPC attValue)
      5 30018576	italy - tuscany - carmignano	 (GPC attValue)
      5 30018575	italy - tuscany - brunello di montalcino	 (GPC attValue)
      5 30018574	italy - tuscany - bolgheri superiore	 (GPC attValue)
      5 30018573	italy - tuscany - bolgheri - sassicaia	 (GPC attValue)
      5 30018572	italy - tuscany - bolgheri	 (GPC attValue)
      5 30018571	italy - trentino-alto adige - trentino	 (GPC attValue)
      5 30018570	italy - trentino-alto adige - sÜdtirol/alto adige	 (GPC attValue)
      5 30018569	italy - trentino-alto adige	 (GPC attValue)
      5 30018568	italy - sicily - marsala	 (GPC attValue)
      5 30018567	italy - sicily - etna	 (GPC attValue)
      5 30018566	italy - sicily - alcamo	 (GPC attValue)
      5 30018565	italy - sardinia - vermont	 (GPC attValue)
      5 30018564	italy - sardinia - alghero	 (GPC attValue)
      5 30018563	italy - puglia	 (GPC attValue)
      5 30018562	italy - piedmont - monferrato	 (GPC attValue)
      5 30018561	italy - piedmont - langhe	 (GPC attValue)
      5 30018560	italy - piedmont - dolcetto di dogliani	 (GPC attValue)
      5 30018559	italy - piedmont - dolcetto d'alba	 (GPC attValue)
      5 30018558	italy - piedmont - dolcetto d'acqui	 (GPC attValue)
      5 30018557	italy - piedmont - barolo	 (GPC attValue)
      5 30018556	italy - piedmont - barbera del monferrato	 (GPC attValue)
      5 30018555	italy - piedmont - barbera d'asti	 (GPC attValue)
      5 30018554	italy - piedmont - barbera d'alba	 (GPC attValue)
      5 30018553	italy - piedmont - barbaresco	 (GPC attValue)
      5 30018552	italy - piedmont	 (GPC attValue)
      5 30018551	italy - molise - tintilia del molise	 (GPC attValue)
      5 30018550	italy - marche - verdicchio dei castelli di jesi	 (GPC attValue)
      5 30018549	italy - marche - rosso piceno	 (GPC attValue)
      5 30018548	italy - marche - esino rosso	 (GPC attValue)
      5 30018547	italy - lombardy - sforzato di valtellina	 (GPC attValue)
      5 30018546	italy - lombardy - lugana	 (GPC attValue)
      5 30018545	italy - liguria - riviera ligure di ponente	 (GPC attValue)
      5 30018544	italy - liguria - pornassio	 (GPC attValue)
      5 30018543	italy - friuli - isonzo del friuli	 (GPC attValue)
      5 30018542	italy - friuli - grave del friuli	 (GPC attValue)
      5 30018541	italy - friuli - collio	 (GPC attValue)
      5 30018540	italy - friuli - colli orientali del friuli	 (GPC attValue)
      5 30018539	italy - friuli	 (GPC attValue)
      5 30018538	italy - emilia - romagna - sangiovese di romagna	 (GPC attValue)
      5 30018537	italy - emilia - romagna	 (GPC attValue)
      5 30018536	italy - elba	 (GPC attValue)
      5 30018535	italy - campania - vesuvio	 (GPC attValue)
      5 30018534	italy - campania - taurasi	 (GPC attValue)
      5 30018533	italy - campania - taburno falanghina	 (GPC attValue)
      5 30018532	italy - campania - falerno del massico	 (GPC attValue)
      5 30018531	italy - campania - costa d'amalfi	 (GPC attValue)
      5 30018530	italy - campania - aglianico della campania	 (GPC attValue)
      5 30018529	italy - campania - aglianico del taburno	 (GPC attValue)
      5 30018528	italy - basilicata - aglianico del vulture	 (GPC attValue)
      5 30018527	italy - alto adige/trentino - valdadige	 (GPC attValue)
      5 30018526	italy - alto adige/trentino	 (GPC attValue)
      5 30018525	italy - abruzzo - montepulciano d'abruzzo	 (GPC attValue)
      5 30018524	israel - samson	 (GPC attValue)
      5 30018523	israel - judean hill	 (GPC attValue)
      5 30018522	israel - golan height	 (GPC attValue)
      5 30018521	israel - galilee	 (GPC attValue)
      5 30018520	israel - elah valley	 (GPC attValue)
      5 30018519	greece - peloponnese - nemea	 (GPC attValue)
      5 30018518	greece - peloponnese	 (GPC attValue)
      5 30018517	greece - naoussa	 (GPC attValue)
      5 30018516	greece - metsovo	 (GPC attValue)
      5 30018515	greece - florina	 (GPC attValue)
      5 30018514	greece - drama	 (GPC attValue)
      5 30018513	greece - cephalonia	 (GPC attValue)
      5 30018512	greece - central greece - thessaly	 (GPC attValue)
      5 30018511	greece - central greece - evia	 (GPC attValue)
      5 30018510	greece - central greece	 (GPC attValue)
      5 30018509	germany - ahr	 (GPC attValue)
      5 30018508	greece - agioritiko	 (GPC attValue)
      5 30018507	greece - aegean islands - santorini	 (GPC attValue)
      5 30018506	greece - aegean islands - samo	 (GPC attValue)
      5 30018505	greece - aegean islands - limno	 (GPC attValue)
      5 30018504	greece - aegean islands - crete	 (GPC attValue)
      5 30018503	greece - achaia	 (GPC attValue)
      5 30018502	germany - wÜrttemberg	 (GPC attValue)
      5 30018501	germany - rhine	 (GPC attValue)
      5 30018500	germany - palatinate (pfalz)	 (GPC attValue)
      5 30018499	germany - mosel (mosel-saar-ruwer)	 (GPC attValue)
      5 30018498	georgia - racha-lechkhumi and kvemo svaneti	 (GPC attValue)
      5 30018497	georgia - kakheti	 (GPC attValue)
      5 30018496	france - south of france	 (GPC attValue)
      5 30018495	france - provence - cÔtes de bordeaux - franc	 (GPC attValue)
      5 30018494	france - provence - cÔtes de bordeaux - castillon	 (GPC attValue)
      5 30018493	france - midi - coteaux du languedoc	 (GPC attValue)
      5 30018492	france - midi	 (GPC attValue)
      5 30018491	france - loire valley - coteaux du layon chaume	 (GPC attValue)
      5 30018490	france - loire valley - chaume	 (GPC attValue)
      5 30018489	france - gascony - haut - armagnac	 (GPC attValue)
      5 30018488	france - gascony - blanche d'armagnac	 (GPC attValue)
      5 30018487	france - gascony - bas - armagnac	 (GPC attValue)
      5 30018486	france - gascony - armagnac - tÉnarÈze	 (GPC attValue)
      5 30018485	france - cognac - petite champagne	 (GPC attValue)
      5 30018484	france - cognac - grande champagne	 (GPC attValue)
      5 30018483	france - cognac - fins boi	 (GPC attValue)
      5 30018482	france - cognac - bordery	 (GPC attValue)
      5 30018481	france - cognac - bons boi	 (GPC attValue)
      5 30018480	france - cognac - bois ordinaire	 (GPC attValue)
      5 30018479	france - cognac - bois À terroir	 (GPC attValue)
      5 30018478	france - champagne - chigny-les-ros	 (GPC attValue)
      5 30018477	france - burgundy - cÔte d'or	 (GPC attValue)
      5 30018476	france - burgundy - cÔte chalonnaise	 (GPC attValue)
      5 30018475	france - burgundy - burgundy	 (GPC attValue)
      5 30018474	france - burgundy - beaujolai	 (GPC attValue)
      5 30018473	france - beaujolais - corna	 (GPC attValue)
      5 30018472	france - armagnac	 (GPC attValue)
      5 30018471	france - alsace - alsace wine	 (GPC attValue)
      5 30018470	england	 (GPC attValue)
      5 30018469	cyprus - lemeso	 (GPC attValue)
      5 30018468	croatia - continental croatia	 (GPC attValue)
      5 30018467	chile - southern chile - bÍo-bÍo valley	 (GPC attValue)
      5 30018466	chile - san antonio valley	 (GPC attValue)
      5 30018465	chile - pirque	 (GPC attValue)
      5 30018464	chile - peumo	 (GPC attValue)
      5 30018463	chile - malleco valley	 (GPC attValue)
      5 30018462	chile - maipo valley - puente alto	 (GPC attValue)
      5 30018461	chile - lontuÉ valley	 (GPC attValue)
      5 30018460	chile - lolol valley	 (GPC attValue)
      5 30018459	chile - limari valley	 (GPC attValue)
      5 30018458	chile - coquimbo - elqui valley	 (GPC attValue)
      5 30018457	chile - coquimbo	 (GPC attValue)
      5 30018456	chile - colchagua valley	 (GPC attValue)
      5 30018455	chile - coastal	 (GPC attValue)
      5 30018454	chile - central valley - rapel valley	 (GPC attValue)
      5 30018453	chile - central valley - maule valley	 (GPC attValue)
      5 30018452	chile - central valley - maipo valley	 (GPC attValue)
      5 30018451	chile - central valley - curicÓ valley	 (GPC attValue)
      5 30018450	chile - central valley - cachapoal valley	 (GPC attValue)
      5 30018449	chile - central valley	 (GPC attValue)
      5 30018448	chile - aconcagua - leyda valley	 (GPC attValue)
      5 30018447	chile - aconcagua - casablanca valley	 (GPC attValue)
      5 30018446	canada - yukon	 (GPC attValue)
      5 30018445	canada - saskatchewan	 (GPC attValue)
      5 30018444	canada - quebec	 (GPC attValue)
      5 30018443	canada - prince edward island	 (GPC attValue)
      5 30018437	canada - ontario - prince edward county	 (GPC attValue)
      5 30018434	canada - ontario - niagara peninsula - vinemount ridge	 (GPC attValue)
      5 30018433	canada - ontario - niagara peninsula - twenty mile bench	 (GPC attValue)
      5 30018432	canada - ontario - niagara peninsula - st. david's bench	 (GPC attValue)
      5 30018431	canada - ontario - niagara peninsula - short hills bench	 (GPC attValue)
      5 30018430	canada - ontario - niagara peninsula - niagara-on-the-lake	 (GPC attValue)
      5 30018429	canada - ontario - niagara peninsula - niagara river	 (GPC attValue)
      5 30018428	canada - ontario - niagara peninsula - niagara lakeshore	 (GPC attValue)
      5 30018427	canada - ontario - niagara peninsula - niagara escarpment	 (GPC attValue)
      5 30018426	canada - ontario - niagara peninsula - four mile creek	 (GPC attValue)
      5 30018425	canada - ontario - niagara peninsula - creek shore	 (GPC attValue)
      5 30018424	canada - ontario - niagara peninsula - beamsville bench	 (GPC attValue)
      5 30018423	canada - ontario - niagara peninsula	 (GPC attValue)
      5 30018420	canada - ontario - lincoln lakeshore	 (GPC attValue)
      5 30018419	canada - ontario - lake erie north shore - south island	 (GPC attValue)
      5 30018418	canada - ontario - lake erie north shore	 (GPC attValue)
      5 30018414	canada - british columbia - okanagan valley - golden mile bench	 (GPC attValue)
      5 30018413	canada - british columbia - okanagan valley - okanagan fall	 (GPC attValue)
      5 30018412	canada - nunavut	 (GPC attValue)
      5 30018411	canada - nova scotia	 (GPC attValue)
      5 30018410	canada - northwest territory	 (GPC attValue)
      5 30018409	canada - newfoundland	 (GPC attValue)
      5 30018408	canada - new brunswick	 (GPC attValue)
      5 30018407	canada - manitoba	 (GPC attValue)
      5 30018406	canada - british columbia - vancouver island	 (GPC attValue)
      5 30018405	canada - british columbia - thompson valley	 (GPC attValue)
      5 30018404	canada - british columbia - similkameen valley	 (GPC attValue)
      5 30018403	canada - british columbia - shuswap	 (GPC attValue)
      5 30018402	canada - british columbia - okanagan valley	 (GPC attValue)
      5 30018400	canada - british columbia - lillooet	 (GPC attValue)
      5 30018399	canada - british columbia - kootenay	 (GPC attValue)
      5 30018398	canada - british columbia - gulf island	 (GPC attValue)
      5 30018396	canada - british columbia - fraser valley	 (GPC attValue)
      5 30018395	canada - alberta	 (GPC attValue)
      5 30018394	bulgaria - sliven	 (GPC attValue)
      5 30018393	bulgaria - sakar	 (GPC attValue)
      5 30018392	bulgaria - ognianovo	 (GPC attValue)
      5 30018391	bulgaria - danube plain	 (GPC attValue)
      5 30018390	belgium - hainaut	 (GPC attValue)
      5 30018389	basilicata	 (GPC attValue)
      5 30018388	austria - niederÖsterreich	 (GPC attValue)
      5 30018387	austria - weinviertel	 (GPC attValue)
      5 30018386	austria - wagram	 (GPC attValue)
      5 30018385	austria - wachau	 (GPC attValue)
      5 30018384	austria - traisental	 (GPC attValue)
      5 30018383	austria - thermenregion	 (GPC attValue)
      5 30018382	austria - southern styria	 (GPC attValue)
      5 30018381	austria - kremstal	 (GPC attValue)
      5 30018380	austria - kamptal	 (GPC attValue)
      5 30018379	australia - south australia - clarendon	 (GPC attValue)
      5 30018378	argentina - san juan	 (GPC attValue)
      5 30018377	argentina - salta province - calchaqui valley	 (GPC attValue)
      5 30018376	argentina - salta province - cafayate valley	 (GPC attValue)
      5 30018375	argentina - salta	 (GPC attValue)
      5 30018374	argentina - patagonia	 (GPC attValue)
      5 30018373	argentina - mendoza - uco valley	 (GPC attValue)
      5 30018372	argentina - mendoza - tupungato	 (GPC attValue)
      5 30018371	argentina - mendoza - san rafael	 (GPC attValue)
      5 30018370	argentina - mendoza - lujÁn de cuyo	 (GPC attValue)
      5 30018369	argentina - mendoza - alto agrelo	 (GPC attValue)
      5 30018368	argentina - mendoza	 (GPC attValue)
      5 30018367	argentina - aconcagua valley	 (GPC attValue)
      5 30018366	argentina - aconcagua costa	 (GPC attValue)
      5 30017994	south africa - slanghoek	 (GPC attValue)
      5 30017910	removable	 (GPC attValue)
      5 30017905	snorkeling	 (GPC attValue)
      5 30017904	scuba	 (GPC attValue)
      5 30017870	head cheese	Head cheese is not a dairy cheese, but a terrine or meat jelly made with flesh from the head of a calf or pig, or less commonly a sheep or cow, and often set in aspic.  (GPC attValue)
      5 30017759	ceramic glass	 (GPC attValue)
      5 30017268	ampoule	 (GPC attValue)
      5 30017120	multigrain	 (GPC attValue)
      5 30017101	denim	 (GPC attValue)
      5 30017098	russia - stavropol krai - stavropol	 (GPC attValue)
      5 30017097	russia - rostov oblast - dolina dona	 (GPC attValue)
      5 30017096	russia - republic of dagestan - dagestan	 (GPC attValue)
      5 30017095	russia - krasnodar krai - kuban	 (GPC attValue)
      5 30017094	russia - kabardino-balkaria - dolina tereka	 (GPC attValue)
      5 30017093	russia - astrakhan oblast and vologda oblast	 (GPC attValue)
      5 30016927	japan - okinawa	 (GPC attValue)
      5 30016926	japan - okayama	 (GPC attValue)
      5 30016925	japan - oita	 (GPC attValue)
      5 30016924	japan - niigata	 (GPC attValue)
      5 30016923	japan - nara	 (GPC attValue)
      5 30016922	japan - nagasaki	 (GPC attValue)
      5 30016921	japan - nagano	 (GPC attValue)
      5 30016920	japan - miyazaki	 (GPC attValue)
      5 30016919	japan - miyagi	 (GPC attValue)
      5 30016918	japan - mie	 (GPC attValue)
      5 30016917	japan - osaka	 (GPC attValue)
      5 30016916	japan - saga	 (GPC attValue)
      5 30016915	japan - saitama	 (GPC attValue)
      5 30016914	japan - yamanashi	 (GPC attValue)
      5 30016913	japan - yamaguchi	 (GPC attValue)
      5 30016912	japan - yamagata	 (GPC attValue)
      5 30016911	japan - wakayama	 (GPC attValue)
      5 30016910	japan - toyama	 (GPC attValue)
      5 30016909	japan - tottori	 (GPC attValue)
      5 30016908	japan - tokyo	 (GPC attValue)
      5 30016907	japan - tokushima	 (GPC attValue)
      5 30016906	japan - tochigi	 (GPC attValue)
      5 30016905	japan - shizuoka	 (GPC attValue)
      5 30016904	japan - shimane	 (GPC attValue)
      5 30016903	japan - shiga	 (GPC attValue)
      5 30016902	japan - kyoto	 (GPC attValue)
      5 30016901	japan - kumamoto	 (GPC attValue)
      5 30016900	japan - kochi	 (GPC attValue)
      5 30016899	japan - kanagawa	 (GPC attValue)
      5 30016898	japan - kagoshima	 (GPC attValue)
      5 30016897	japan - kagawa	 (GPC attValue)
      5 30016896	japan - iwate	 (GPC attValue)
      5 30016895	japan - ishikawa	 (GPC attValue)
      5 30016894	japan - ibaraki	 (GPC attValue)
      5 30016893	japan - hyogo	 (GPC attValue)
      5 30016892	japan - hokkaido	 (GPC attValue)
